Tabla 1
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Etiquetas de fila,Suma de Total,,Mes,Venta $,,Etiquetas de fila,Suma de Unidades,,Etiquetas de fila,Suma de Total,,Etiquetas de fila,Suma de Total,,,Suma de Total,,Etiquetas de fila,Suma de Total,
Enero," $	6,328,368 ",,Enero," $	6,328,368 ",,Enero,"16,831 ",,otros,0.00%,,KARIM," $	239,650.19 ",,otros," $	1,289.57 ",,CS," $	3,175,346.87 ",
Febrero," $	7,444,180 ",,Febrero," $	7,444,180 ",,Febrero,"22,339 ",,Lacteos,0.71%,,Adolfo," $	279,899.45 ",,Lacteos," $	205,659.48 ",,FARAON," $	633,420.00 ",
Marzo," $	7,193,476 ",,Marzo," $	7,193,476 ",,Marzo,"20,815 ",,Fruta y Verd,0.76%,,MKT," $	553,904.11 ",,Fruta y Verd," $	219,437.60 ",,GDL," $	4,160,777.15 ",
Abril," $	5,736,381 ",,Abril," $	5,736,381 ",,Abril,"15,752 ",,Carne,0.89%,,Gamaliel," $	593,261.66 ",,Carne," $	256,935.23 ",,MAY VLP," $	2,202,237.14 ",
Mayo," $	2,126,719 ",,,,,Mayo,"6,480 ",,Secos,1.72%,,Diego," $	1,954,323.64 ",,Secos," $	497,188.47 ",,MEN VLP," $	3,969,640.46 ",
Total general," $	28,829,125 ",,,,,Total general,"82,217 ",,Aves,6.42%,,Gabriela," $	2,155,081.93 ",,Aves," $	1,849,675.00 ",,MUESTRA, $	10.36 ,
,,,,,,,,,Papa,89.49%,,OXDA," $	10,622,055.97 ",,Papa," $	25,798,939.89 ",,MUESTRAS, $	8.00 ,
,,,,,,,,,Total general,100.00%,,Mario," $	12,430,948.29 ",,,,,QR," $	3,564,951.10 ",
,,,,,,,,,,,,Total general," $	28,829,125.24 ",,,,,VERACRUZ," $	87,140.00 ",
,,,,,,,,,,,,,,,,,,MAY GAMA," $	678,982.16 ",
,,,,,,,,,,,,,,,,,,CC KAIDA1," $	2,825,274.00 ",
,,,,,,,,,,,,,,,,,,CC KAIDA2," $	2,500,974.00 ",
,,,,,,,,,,,,,,,,,,CC KAIDA4," $	1,236,684.00 ",
,,,,,,,,,,,,,,,,,,cc castel," $	1,589,760.00 ",
,,,,,,,,,,,,,,,,,,CC CASTEL2," $	943,920.00 ",
,,,,,,,,,,,,,,,,,,CC KAIDA3," $	1,260,000.00 ",
,,,,,,,,,,,,,,,,,,Total general," $	28,829,125.24 ",
